strategy,category,param_window,param_z_entry,param_z_exit,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
zscore_reversion,mean_reversion,40,1.5,0.5,101.63117421404128,10.074458538704324,1.5058378289088887,2.518531663968333,1.9912892268503855,20.061160754472795,12.675162820168762,201631.1742140413,28.0,89.28571428571429,12.65405836030842,3629.6847933586196,20.061160754472795,10.088003620600743,31.243737104571963,8.478437051507504,1.3693348485949615,2.3445217401119183,2.12140281450099,17.986180223637493,12.662874210084782,131243.73710457195,12.0,83.33333333333334,11.069568559244786,2603.644758714331,17.986180223637493,3.6850821578036825,0.7747862554112553,0.7503176171654432,0.7503176171654432
zscore_reversion,mean_reversion,40,1.5,1.0,70.70439090919017,10.074458538704324,1.3373717544448214,2.3214683300949965,1.485015688649811,14.96072898462797,10.86530436336675,170704.39090919017,35.0,85.71428571428571,8.079022327038942,2020.1254545482925,14.96072898462797,7.018182727891147,7.87753590463745,10.790182943828885,0.4671509178052394,0.7249606054852886,0.4375106915656327,4.7208204018742705,11.214867055746199,107877.53590463745,12.0,75.0,1.934724366031814,656.4613253864528,4.7208204018742705,0.7300650920976984,0.7017992424242424,0.477337427065688,0.47733742706568794
zscore_reversion,mean_reversion,40,2.0,0.0,89.53344736073821,7.575633860245423,1.5111892240940377,2.6278101155305866,2.3945084970273056,18.13991964872543,11.465487778813142,189533.4473607382,15.0,100.0,inf,5968.896490715882,18.13991964872543,11.818608054777036,21.086955660898035,8.294320080049989,1.0532500415791182,1.7654040251737284,1.4882789081679741,12.3442616327325,11.698751156510514,121086.95566089803,6.0,83.33333333333334,39.74220131859023,3514.4926101496717,12.3442616327325,2.5423368591257627,0.7738095238095237,0.569997102589157,0.569997102589157
zscore_reversion,mean_reversion,40,2.0,0.5,54.85332108030266,7.575633860245434,1.1830306217032267,2.0278033158918,1.594138806558157,12.076611920893221,10.064145946414179,154853.32108030264,15.0,100.0,inf,3656.8880720201755,12.076611920893221,7.240756627396659,15.122993816821253,6.66419395655371,0.9081090926068643,1.5277533256252593,1.3422337620804503,8.944906125538887,9.980049137983517,115122.99381682125,6.0,83.33333333333334,31.198829768661874,2520.498969470207,8.944906125538887,2.2692907672576035,0.6774215367965367,0.535132142753786,0.535132142753786
zscore_reversion,mean_reversion,40,2.0,1.0,34.611625672816096,6.9956391703542735,0.9087217804347768,1.5312350999609488,1.1517446583012496,8.057190045858519,8.968050258264606,134611.6256728161,16.0,93.75,80.51284795538743,2163.2266045510064,8.057190045858519,4.947600187770018,3.826936947992697,9.021765869403097,0.30087498909319493,0.46840030302670704,0.2561481609178719,2.310908735679229,8.904699952630612,103826.9369479927,6.0,66.66666666666666,1.8046453753703828,637.8228246654484,2.310908735679229,0.4241893442359857,0.6746482683982684,0.3260243921410415,0.3260243921410415
zscore_reversion,mean_reversion,40,2.5,0.0,39.31069774268009,7.5756338602454125,1.0009149765317849,1.6784191441657517,1.1917407154099913,9.028191316293022,9.042678446996428,139310.6977426801,7.0,100.0,inf,5615.813963240011,9.028191316293022,5.189096842307875,8.31425910404137,4.726172643275072,0.6808744685788387,1.1615828682958063,1.0533926370693394,4.9785154639444995,7.552014485802999,108314.25910404137,2.0,100.0,inf,4157.129552020688,4.9785154639444995,1.759194962095138,0.532023871039424,0.25228364356531724,0.2522836435653172
zscore_reversion,mean_reversion,40,2.5,0.5,29.026203631981236,7.5756338602454125,0.9063204462693129,1.5246933404983538,0.9068387380601945,6.86987824983103,7.652830825683542,129026.20363198123,7.0,100.0,inf,4146.600518854465,6.86987824983103,3.83152144988181,3.3723818763304445,4.726172643275062,0.33305913969853834,0.5268541965910352,0.43125620134327497,2.038191261031308,6.73546854328684,103372.38187633044,2.0,100.0,inf,1686.1909381652213,2.038191261031308,0.7135545251672206,0.4491727969832899,0.1998606754239869,0.19986067542398692
zscore_reversion,mean_reversion,40,2.5,1.0,19.730972030944717,4.766829520831295,0.7841099356137434,1.350583137837184,1.0083898272659813,4.8068223971174495,6.234100181065657,119730.97203094471,7.0,100.0,inf,2818.710290134961,4.8068223971174495,4.139223344304497,0.26868893581828157,4.726172643275062,0.057174548949881394,0.0863409265839679,0.03456634987818909,0.16336653717217153,6.186455803588858,100268.68893581828,2.0,50.0,1.2356883864565005,134.34446790913807,0.16336653717217153,0.05685127397971864,0.4435701628770349,0.1627638531405788,0.16276385314057884
zscore_reversion,mean_reversion,40,3.0,0.0,3.511608950807422,7.5756338602454125,0.3070232396048101,0.46454686538555495,0.11931397400697961,0.9038789814877157,3.085576620557479,103511.60895080742,1.0,100.0,inf,3511.60895080742,0.9038789814877157,0.46353995132146786,6.3401924518486625,3.2860270838860117,0.7814815438318963,1.6117484436967222,1.1595823408683288,3.8104189780892694,4.939935281662635,106340.19245184866,1.0,100.0,inf,6340.19245184866,3.8104189780892694,1.9294401080683838,0.07651154755426336,0.20457267006121743,0.07651154755426337
zscore_reversion,mean_reversion,40,3.0,0.5,2.674112925000387,7.5756338602454125,0.24151816078548716,0.36000769036011826,0.09113336115286325,0.6903929765476047,3.0397651841899087,102674.11292500039,1.0,100.0,inf,2674.1129250003924,0.6903929765476047,0.35298867056304106,3.775491482677331,3.2860270838860117,0.557793349278087,1.0525013987345537,0.6938672935822843,2.280066719334073,4.198371431251448,103775.49148267733,1.0,100.0,inf,3775.491482677338,2.280066719334073,1.1489532454530123,0.06855451772754097,0.1728301102148303,0.06855451772754095
