strategy,category,param_clv_floor,param_trend_window,param_exit_window,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
clv_dip,mean_reversion,0.2,200,20,-10.269457909243691,29.84792954114639,-0.1169495384113782,-0.1613867261520871,-0.09332444429096347,-2.785541437663319,14.79038428975738,89730.54209075631,39.0,58.97435897435898,0.8260636521914214,-263.31943357035016,-2.785541437663319,-0.34405930552358394,1.5310255162078683,13.096564441118296,0.13934822860237042,0.20002299406985558,0.07090416832821378,0.9286010096543507,10.842287305120642,101531.02551620787,19.0,52.63157894736842,1.1078229376764497,80.58029032672869,0.9286010096543507,0.11690283532687572,0.8484848484848485,0.505892255892256,0.505892255892256
clv_dip,mean_reversion,0.3,100,5,-31.299778687943135,31.75011842609007,-0.7140914447274644,-0.9769222387724242,-0.2936662026823188,-9.323936712903791,12.593308698992022,68700.22131205686,82.0,57.3170731707317,0.596247626214466,-381.7046181456485,-9.323936712903791,-0.9858161241446938,-2.087236984395349,15.64880467151497,-0.07566212668969183,-0.10931763669623783,-0.08147438734839411,-1.2749767733463702,10.157722673812518,97912.76301560465,40.0,62.5,0.919239612434295,-52.180924609882254,-1.2749767733463702,-0.13337996276448394,0.2676767676767677,0.30387205387205385,0.26767676767676774
clv_dip,mean_reversion,0.3,100,10,-12.335441293570373,25.139409653787602,-0.16101143226088407,-0.22786955525789723,-0.134216790581655,-3.374130880848847,14.651909392998213,87664.55870642963,64.0,57.8125,0.8500563517217741,-192.74127021203685,-3.374130880848847,-0.4906814226527339,5.512196212943774,13.74323432279516,0.34323321192731365,0.5039976269796449,0.2414243531014865,3.3179514559029677,11.39750576195987,105512.19621294377,30.0,63.33333333333333,1.2529740034563452,183.73987376479238,3.3179514559029677,0.401084350559387,0.86026936026936,0.7811447811447813,0.7811447811447813
clv_dip,mean_reversion,0.3,100,20,-11.033639429362228,32.59066854898861,-0.1044096496258203,-0.14632454328948621,-0.09211453420836609,-3.002074252929332,16.36399252910851,88966.36057063777,41.0,46.34146341463415,0.8465684846033971,-269.11315681371343,-3.002074252929332,-0.3385521046546508,8.751227528514224,14.214282574342018,0.47765008361734457,0.7037236488888584,0.36835824973403186,5.2359482503095744,12.252738046169188,108751.22752851422,26.0,61.53846153846154,1.4322093502560955,336.58567417362576,5.2359482503095744,0.6156643842377898,0.8063973063973063,0.8367003367003367,0.8063973063973064
clv_dip,mean_reversion,0.3,150,5,-34.42183457893101,35.307611263584185,-0.7643302566071085,-1.0289101248259156,-0.29503016142098065,-10.416810250484476,13.240838774941002,65578.16542106899,90.0,57.77777777777777,0.5767551671071721,-382.464828654789,-10.416810250484476,-0.9749125853334986,-4.53145177289164,15.167980302058515,-0.2420761485972944,-0.34562066506804084,-0.18338792163081827,-2.781624382931702,9.710152314794286,95468.54822710836,38.0,63.1578947368421,0.8161012960610817,-119.2487308655709,-2.781624382931702,-0.2987511641399387,0.19865319865319864,0.26936026936026936,0.19865319865319864
clv_dip,mean_reversion,0.3,150,10,-28.13654961937388,31.427103361156806,-0.4785968758234638,-0.651294823753448,-0.2626229778300696,-8.25347946928039,15.486944568410829,71863.45038062612,70.0,57.14285714285714,0.673153678801207,-401.95070884819813,-8.25347946928039,-0.8952956718928803,2.4612951447218654,14.675460722433476,0.18657847617729598,0.27271692185351604,0.10154039687784741,1.4901521061211565,11.402747781874117,102461.29514472187,30.0,60.0,1.1076520630162405,82.04317149072824,1.4901521061211565,0.1677150170119998,0.4503367003367003,0.5294612794612794,0.45033670033670026
clv_dip,mean_reversion,0.3,150,20,-18.224150040050286,38.0933071201769,-0.23203079069268281,-0.3191864330904485,-0.13414624931128485,-5.110074274034593,16.634180060928557,81775.84995994972,46.0,45.65217391304348,0.7406455165264603,-396.1771747837008,-5.110074274034593,-0.47840818815118025,4.09886923137102,14.91679729761426,0.2592849475154048,0.3788944096065953,0.16584225103118722,2.473835242012279,12.366646494268661,104098.86923137102,26.0,57.692307692307686,1.1829734606169975,157.6488165911927,2.473835242012279,0.2747821231053786,0.6750841750841751,0.6683501683501682,0.6683501683501682
clv_dip,mean_reversion,0.3,200,5,-21.419813212490045,27.567207632371638,-0.4126077229470216,-0.5690944324946433,-0.2209556112200069,-6.091129212039514,13.13631704742495,78580.18678750996,93.0,61.29032258064516,0.7253870265004455,-230.32057217731244,-6.091129212039514,-0.7770033692979906,-8.845431121005953,18.031464499221716,-0.5178074357824136,-0.7271524300168368,-0.30381455591539874,-5.478221379335324,9.929619310588421,91154.56887899405,37.0,62.16216216216216,0.6861784255613302,-239.06570597313362,-5.478221379335324,-0.4905553357237148,0.6599326599326599,0.13804713804713803,0.13804713804713808
clv_dip,mean_reversion,0.3,200,10,-18.163719867560925,27.527300380532104,-0.2697116943672107,-0.3726997371186761,-0.18497264956150053,-5.091797686662325,15.127762838800459,81836.28013243907,71.0,61.97183098591549,0.7848081564812981,-255.82704038818224,-5.091797686662325,-0.6598438501585392,-0.2609341409351618,17.055171526262402,0.04241203536312875,0.061568532767768885,-0.009311905585265097,-0.15881614699305713,11.320890062244281,99739.06585906484,30.0,60.0,0.9897985712201888,-8.69780469783791,-0.15881614699305713,-0.01529941463991508,0.7676767676767677,0.3409090909090909,0.34090909090909083
clv_dip,mean_reversion,0.3,200,20,-5.35871901843074,29.696139821047364,-0.006271830664530183,-0.00875084874898532,-0.048008295592304795,-1.425661058479255,16.323552692001687,94641.28098156926,47.0,53.191489361702125,0.9206173182099829,-114.01529826448359,-1.425661058479255,-0.1804517035117375,3.014634963705161,16.94712127832554,0.20902566461760075,0.3055410157995633,0.10758316408401568,1.82322492923781,12.187527217587741,103014.63496370516,23.0,60.86956521739131,1.128993999262226,131.07108537848603,1.82322492923781,0.17788478138530334,0.8973063973063975,0.5547138047138046,0.5547138047138045
