strategy,category,param_trend_window,param_exit_window,param_min_body_atr,is_total_return_pct,is_max_drawdown_pct,is_sharpe_ratio,is_sortino_ratio,is_calmar_ratio,is_annualized_return_pct,is_annualized_volatility_pct,is_final_value,is_total_trades,is_win_rate_pct,is_profit_factor,is_expectancy,is_cagr_pct,is_recovery_factor,oos_total_return_pct,oos_max_drawdown_pct,oos_sharpe_ratio,oos_sortino_ratio,oos_calmar_ratio,oos_annualized_return_pct,oos_annualized_volatility_pct,oos_final_value,oos_total_trades,oos_win_rate_pct,oos_profit_factor,oos_expectancy,oos_cagr_pct,oos_recovery_factor,is_composite,oos_composite,robust_score
engulfing_trend,hybrid,150,10,0.5,-8.965396871673555,26.7011275244349,-0.18673182438353564,-0.24704179061887283,-0.09060141473781576,-2.419159928808634,10.275238255269299,91034.60312832645,31.0,48.38709677419355,0.7459854355315935,-289.2063506991468,-2.419159928808634,-0.3357684750754097,1.0366350655143468,5.186550799833334,0.12466521697423738,0.17820304698220416,0.12134183218742559,0.6293455767849343,6.987294507691676,101036.63506551435,14.0,50.0,1.1585291931896877,74.04536182245391,0.6293455767849343,0.19986983749347606,0.3409090909090909,0.7735690235690235,0.34090909090909094
engulfing_trend,hybrid,150,10,0.8,-4.07188984742506,7.47017164411381,-0.21065299583044167,-0.29370871807764537,-0.14430277944820816,-1.0779665312008135,4.6352153205588795,95928.11015257494,9.0,44.44444444444444,0.6354150105349177,-452.4322052694505,-1.0779665312008135,-0.5450865176081386,-1.6272104458098913,5.684742444007629,-0.27349964672321964,-0.35392049436764245,-0.1746894958637411,-0.9930647916589042,3.433309495492133,98372.78955419011,4.0,50.0,0.5340305487194005,-406.80261145247465,-0.9930647916589042,-0.286241718395731,0.36174539900411007,0.3087745863464074,0.3087745863464074
engulfing_trend,hybrid,150,20,0.3,1.9871995830306695,43.52249273501438,0.10890290527655538,0.15064641061184092,0.011817542689297881,0.5143289158406894,14.837965462787139,101987.19958303067,28.0,50.0,1.0429105072720373,70.9714136796672,0.5143289158406894,0.045659139864292354,-10.476245848048464,11.076807253149124,-0.6841967869869939,-0.9345117901472033,-0.5877669997160079,-6.510581765615974,9.218618859975125,89523.75415195154,17.0,23.52941176470588,0.3105105744285416,-616.2497557675563,-6.510581765615974,-0.9457820840089168,0.425925925925926,0.14983164983164984,0.14983164983164982
engulfing_trend,hybrid,150,20,0.5,31.293016372001293,24.87930872635793,0.6380234078934848,0.9194598859624697,0.29567691161613874,7.356237167353963,12.316203854157997,131293.0163720013,22.0,50.0,2.201718257173304,1422.4098350909674,7.356237167353963,1.257792839671967,-10.328587514386847,12.694512953635629,-0.7913683289713558,-1.0374455920483112,-0.5054788276390941,-6.4168075252530326,7.977556229147595,89671.41248561315,12.0,25.0,0.18577782827806288,-860.7156261989047,-6.4168075252530326,-0.8136261353318643,0.7752525252525252,0.11195286195286194,0.11195286195286192
engulfing_trend,hybrid,150,20,0.8,2.2213603746937154,9.07991282878019,0.12496188839719072,0.18343561754762974,0.06326551155949196,0.5744453300283725,6.04261390787786,102221.36037469372,8.0,50.0,1.2020723433673934,277.6700468367135,0.5744453300283725,0.2446455617561404,-3.661032912105016,7.892582326231768,-0.49386815636005416,-0.6313282739542623,-0.2842381586036241,-2.2433730670356256,4.398029346008219,96338.96708789498,4.0,25.0,0.2988430678432305,-915.2582280262551,-2.2433730670356256,-0.46385742470334657,0.5450886248181305,0.19271793147827498,0.19271793147827498
engulfing_trend,hybrid,150,40,0.3,12.295182194111257,30.698685804633776,0.2616194922347567,0.37130626973352704,0.09998563764787216,3.069427675127989,17.234073726201476,112295.18219411126,24.0,58.333333333333336,1.3252798304927942,512.2992580879691,3.069427675127989,0.4005116789805828,3.6584982071977135,9.305771587955448,0.2417024906855184,0.3598094566026095,0.2374769121645836,2.2099059020165734,12.024256723570222,103658.49820719771,13.0,38.46153846153847,1.320059179888765,281.4229390152076,2.2099059020165734,0.3931429191678145,0.6346801346801346,0.755892255892256,0.6346801346801346
engulfing_trend,hybrid,150,40,0.5,29.970594622961798,18.20421200271687,0.5461433880557759,0.800324840196097,0.38855100648766594,7.073264895970488,14.41561886449024,129970.5946229618,20.0,55.00000000000001,2.4518368003231386,1498.5297311480904,7.073264895970488,1.6463549544736606,-0.12703043545546827,12.046244333920185,0.04549217943696112,0.06571379262564248,-0.0064166126331017745,-0.07729608357446294,10.587062734617323,99872.96956454453,11.0,36.36363636363637,0.991037986535327,-11.548221405041204,-0.07729608357446294,-0.010545231520646818,0.7988215488215488,0.5791245791245792,0.5791245791245792
engulfing_trend,hybrid,150,40,0.8,-13.457111219634346,16.071179967684813,-0.5959431136493479,-0.7893760655048776,-0.2301010688456118,-3.6979956881744602,6.018240739031027,86542.88878036565,8.0,25.0,0.1628162409950424,-1682.138902454292,-3.6979956881744602,-0.8373443173863577,6.923640974359499,10.052644441196623,0.5245166449398324,0.8082733460559519,0.41347679503429285,4.156535205165279,8.441187684118253,106923.6409743595,3.0,33.33333333333333,1.9846218357422782,2307.8803247864985,4.156535205165279,0.6887382732831778,0.1310019623181695,0.44951977573024987,0.13100196231816946
engulfing_trend,hybrid,200,10,0.3,-19.631576714523543,29.54535324446692,-0.44931633535602433,-0.5894993355300224,-0.18746063751342631,-5.538590754767148,11.262532096649158,80368.42328547646,39.0,41.02564102564102,0.5603662056216476,-503.3737619108598,-5.538590754767148,-0.6644556439073894,5.28361822203749,5.320539420865078,0.43722984408060545,0.6534253628746824,0.598009619739285,3.181733755879401,7.870147646990111,105283.61822203749,17.0,47.05882352941176,1.5668346780116593,310.8010718845603,3.181733755879401,0.9930606286492687,0.18350168350168347,0.8796296296296297,0.1835016835016835
engulfing_trend,hybrid,200,10,0.5,-8.29901575726032,17.971677262490548,-0.18345627998113953,-0.2401230538779664,-0.12427518141573939,-2.2334334521411314,9.722018024468255,91700.98424273968,30.0,46.666666666666664,0.752612880912228,-276.6338585753433,-2.2334334521411314,-0.4617830398379982,1.0366350655143468,5.186550799833334,0.12466521697423738,0.17820304698220416,0.12134183218742559,0.6293455767849343,6.987294507691676,101036.63506551435,14.0,50.0,1.1585291931896877,74.04536182245391,0.6293455767849343,0.19986983749347606,0.38047138047138046,0.7735690235690235,0.3804713804713805
